latitude,longitude,elevation
51.24877,3.28378,3
51.24843,3.28415,3
51.2484,3.2842,3
51.24843,3.28435,3
51.24847,3.28442,3
51.24862,3.28444,3
51.24873,3.28457,3
51.24882,3.28519,2
51.24914,3.28658,2
51.24924,3.28673,2
51.24931,3.2868,2
51.24944,3.28684,2
51.2495,3.28682,2
51.24961,3.28675,3
51.25006,3.28648,2
51.25081,3.28599,3
51.25102,3.28589,3
51.25116,3.28592,3
51.2517,3.28624,3
51.25229,3.28658,2
51.25245,3.28665,2
51.2526,3.2867,2
51.25276,3.28668,2
51.25311,3.28657,2
51.25333,3.28657,2
51.25349,3.28665,2
51.25349,3.28665,2
51.2534,3.28743,1
51.25343,3.28784,1
51.25341,3.28804,1
51.25333,3.28823,1
51.25317,3.28836,1
51.25299,3.28843,1
51.25284,3.28841,1
51.25222,3.28791,1
51.25212,3.28787,1
51.25204,3.28789,1
51.25194,3.288,1
51.2516,3.28888,0
51.25122,3.28963,0
51.25047,3.29095,1
51.24916,3.29347,0
51.2489,3.29413,0
51.24839,3.29563,0
51.24829,3.29602,0
51.24822,3.2964,0
51.24815,3.29669,0
51.24802,3.29713,0
51.24803,3.29727,0
51.24912,3.29968,0
51.2495,3.30026,0
51.24985,3.30092,1
51.25023,3.30171,0
51.25062,3.30284,0
51.2513,3.30473,0
51.25152,3.30573,0
51.25159,3.30634,0
51.25164,3.30702,0
51.25168,3.30733,0
51.252,3.30858,0
51.25206,3.30896,0
51.25208,3.30927,0
51.25207,3.31011,0
51.25245,3.31113,0
51.25287,3.3124,0
51.25299,3.31286,0
51.25324,3.31409,1
51.25328,3.3149,1
51.25326,3.31526,1
51.25317,3.31567,0
51.25236,3.31727,0
51.25202,3.31809,0
51.25191,3.31845,0
51.2518,3.31909,0
51.25178,3.31917,0
51.25172,3.31924,0
51.25163,3.31925,0
51.25167,3.31963,0
51.25178,3.31981,0
51.2519,3.31991,0
51.25204,3.31998,0
51.25248,3.32029,0
51.25294,3.32046,0
51.25313,3.32059,0
51.25329,3.32078,0
51.25518,3.32108,0
51.25577,3.32127,2
51.25595,3.3213,2
51.2561,3.32129,4
51.25627,3.32122,4
51.25648,3.32124,5
51.25659,3.32121,5
51.25673,3.32097,5
51.25679,3.32094,5
51.25544,3.32496,4
51.25367,3.33027,4
51.25202,3.33515,6
51.25101,3.33818,6
51.25086,3.33842,6
51.25083,3.33861,6
51.25051,3.33959,5
51.25051,3.33959,5
51.25044,3.33985,4
51.24906,3.34395,4
51.24693,3.35035,7
51.24554,3.35447,9
51.24543,3.35472,8
51.24444,3.35782,8
51.24404,3.35926,9
51.24368,3.36073,8
51.24324,3.3629,9
51.24292,3.36513,6
51.24275,3.36736,4
51.24266,3.36932,4
51.24258,3.36945,4
51.24223,3.36994,6
51.2418,3.37042,3
51.2414,3.37093,2
51.23528,3.37908,0
51.23519,3.37925,0
51.23517,3.37935,0
51.23517,3.37944,0
51.23541,3.38059,1
51.23531,3.38064,1
51.23238,3.38314,3
51.23216,3.38317,3
51.23216,3.38317,3
51.23214,3.38303,3
51.23155,3.38363,2
51.22797,3.38713,0
51.2243,3.39075,0
51.2242,3.39084,0
51.22411,3.3908,1
51.22352,3.39225,1
51.22346,3.39274,1
51.22366,3.39436,1
51.22377,3.39677,2
51.22193,3.39633,1
51.22187,3.39638,1
51.22176,3.39655,1
51.22165,3.3968,1
51.22156,3.39684,1
51.22122,3.39664,1
51.22075,3.39646,2
51.2205,3.39615,2
51.22002,3.39613,1
51.21331,3.39651,8
51.21298,3.3981,9
51.20608,3.39559,11
51.20608,3.3957,11
51.20545,3.39538,10
51.20487,3.395,10
51.2043,3.39496,10
51.20182,3.3941,10
51.20163,3.39394,10
51.20143,3.39365,10
51.20131,3.39353,10
51.20076,3.39325,11
51.19919,3.39331,11
51.19929,3.39094,10
51.19928,3.39078,10
51.1992,3.39072,10
51.19764,3.39061,10
51.19819,3.38503,12
51.1973,3.38123,12
51.19712,3.38009,13
51.1971,3.37966,12
51.19712,3.37952,12
51.19688,3.37714,11
51.19703,3.37549,11
51.19716,3.37447,11
51.19744,3.37429,11
51.19749,3.37417,11
51.19664,3.36551,12
51.19647,3.36357,11
51.19625,3.36278,11
51.19613,3.36218,12
51.19596,3.36182,12
51.1953,3.35955,11
51.19522,3.35933,10
51.19483,3.3587,10
51.19468,3.35856,10
51.19378,3.35855,10
51.19375,3.35847,10
51.19378,3.35638,8
51.19389,3.35346,9
51.19177,3.35316,8
51.19171,3.35321,8
51.19167,3.35332,8
51.19152,3.35413,8
51.19149,3.35425,8
51.19022,3.35562,8
51.18991,3.35616,8
51.18979,3.35631,8
51.18845,3.35771,9
51.18707,3.35933,10
51.18638,3.3602,10
51.1858,3.36111,12
51.1858,3.36111,12
51.1839,3.36592,12
51.1817,3.37103,10
51.18037,3.37428,10
51.17976,3.37782,10
51.17692,3.38052,14
51.17645,3.38262,18
51.17605,3.38422,19
51.17561,3.38586,16
51.17544,3.38621,16
51.17408,3.38855,15
51.174,3.3888,15
51.17397,3.38909,15
51.17371,3.38957,14
51.17346,3.38984,12
51.1728,3.39006,12
51.17269,3.39013,11
51.17212,3.39066,10
51.17205,3.39036,11
51.17201,3.39032,11
51.1712,3.39079,11
51.1711,3.3904,11
51.17106,3.39037,11
51.1707,3.39088,12
51.1706,3.39087,12
51.16973,3.39221,12
51.16856,3.39442,13
51.17061,3.39763,12
51.1698,3.39825,11
51.1698,3.39825,11
51.16748,3.40001,10
51.16668,3.40063,12
51.16613,3.40108,12
51.16356,3.4033,12
51.16227,3.40442,14
51.15967,3.40672,13
51.15813,3.40459,12
51.15806,3.40451,12
51.15795,3.40445,12
51.15615,3.40352,11
51.15607,3.40351,11
51.15603,3.40353,11
51.15593,3.40342,11
51.15431,3.40112,10
51.15371,3.4001,10
51.15333,3.3996,10
51.15312,3.39931,10
51.15158,3.39739,9
51.15134,3.3971,9
51.15026,3.39595,9
51.1499,3.39569,9
51.14957,3.39554,10
51.14922,3.39526,11
51.14893,3.39494,11
51.14774,3.39355,12
51.14774,3.39355,12
51.14704,3.39476,11
51.14652,3.39378,12
51.14599,3.39181,11
51.14558,3.39056,11
51.14492,3.38881,11
51.14481,3.38857,12
51.14466,3.38836,11
51.14423,3.38785,11
51.14404,3.38752,11
51.14346,3.38785,11
51.14303,3.38815,10
51.14285,3.3884,10
51.1427,3.38857,10
51.14241,3.38873,9
51.1419,3.38892,9
51.14172,3.38897,9
51.14039,3.38911,9
51.14003,3.38922,9
51.13962,3.38939,9
51.13894,3.38949,8
51.13836,3.38953,8
51.13801,3.38951,8
51.13569,3.38865,8
51.13514,3.38829,8
51.13311,3.38677,9
51.13305,3.38662,9
51.13226,3.38512,6
51.13164,3.38358,7
51.13162,3.38342,6
51.13167,3.38332,7
51.1318,3.38316,7
51.13186,3.38304,7
51.13192,3.38282,7
51.13194,3.38258,7
51.13187,3.38089,8
51.13187,3.38057,8
51.13195,3.3798,8
51.13199,3.37944,8
51.13214,3.37881,8
51.13239,3.37794,8
51.13261,3.37699,9
51.13275,3.37626,9
51.13288,3.37494,9
51.13288,3.37444,9
51.13286,3.37368,9
51.13288,3.37354,9
51.13116,3.37135,9
